x_red,y_red,x_blue,y_blue,overlap
43,3,35,32,FALSE
64,1,38,25,FALSE
37,23,33,23,TRUE
45,24,28,25,FALSE
51,25,31,30,FALSE
59,27,39,31,FALSE
34,21,34,24,TRUE
37,18,25,20,FALSE
37,8,28,23,FALSE
43,4,20,20,FALSE
47,2,21,14,FALSE
46,40,34,41,FALSE
54,39,40,43,FALSE
61,40,46,41,FALSE
36,21,31,23,TRUE
41,17,28,26,FALSE
43,8,33,29,FALSE
47,3,37,24,FALSE
33,24,37,24,TRUE
30,22,39,27,TRUE
29,21,42,29,FALSE
30,13,36,26,FALSE
33,6,36,19,FALSE
36,2,39,13,FALSE
23,32,26,19,FALSE
19,22,22,14,FALSE
14,17,18,14,TRUE
12,11,21,12,TRUE
8,5,17,9,FALSE
3,2,12,3,FALSE
30,38,28,42,TRUE
34,35,23,43,FALSE
40,33,23,38,FALSE
48,32,28,37,FALSE
53,30,35,35,FALSE
61,33,42,36,FALSE
23,15,20,25,FALSE
22,8,14,19,FALSE
21,2,12,13,FALSE
29,16,22,37,FALSE
32,11,19,30,FALSE
38,5,21,24,FALSE
43,4,26,19,FALSE
49,2,29,13,FALSE
64,1,35,10,FALSE
64,1,40,6,FALSE
39,22,39,31,FALSE
44,18,32,31,FALSE
50,15,32,25,FALSE
57,13,38,23,FALSE
64,1,44,22,FALSE
64,1,50,17,FALSE
41,30,43,28,TRUE
46,35,41,29,TRUE
47,36,47,29,TRUE
53,33,53,27,TRUE
58,27,50,23,TRUE
62,21,53,25,FALSE
64,19,56,25,FALSE
44,29,24,22,FALSE
51,26,31,22,FALSE
55,21,37,23,FALSE
59,15,44,23,FALSE
64,1,51,23,FALSE
43,29,26,41,FALSE
50,26,33,43,FALSE
53,19,36,36,FALSE
59,13,41,31,FALSE
64,1,46,26,FALSE
25,34,33,24,FALSE
28,29,32,26,TRUE
36,25,33,25,TRUE
41,24,31,26,FALSE
48,21,36,30,FALSE
55,18,40,25,FALSE
60,14,45,20,FALSE
25,32,19,35,TRUE
27,26,21,31,FALSE
33,21,25,27,FALSE
36,14,29,21,FALSE
39,10,32,15,FALSE
39,2,31,8,FALSE
43,29,25,38,FALSE
49,24,32,39,FALSE
53,19,37,35,FALSE
61,17,43,32,FALSE
10,19,23,31,FALSE
7,13,21,25,FALSE
6,6,16,21,FALSE
7,1,8,15,FALSE
42,27,32,27,FALSE
49,26,31,30,FALSE
55,24,37,32,FALSE
63,23,43,29,FALSE
29,22,34,20,TRUE
28,23,35,18,FALSE
25,24,35,20,FALSE
24,18,31,18,TRUE
22,10,28,26,FALSE
18,5,33,29,FALSE
